PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Harrison Barnes,SAC,31,6-8,225,North Carolina,USA,2012,1,7,82,15,4.5,1.6,4.8,3.4,10.7,16.8,63.2,6.3
Haywood Highsmith,MIA,26,6-5,220,Wheeling Jesuit,USA,2018,,,54,4.4,3.5,0.8,-5.2,5.5,13.5,12.1,51.7,6.5
Herbert Jones,NOP,24,6-7,206,Alabama,USA,2021,2,35,66,9.8,4.1,2.5,3.9,5.1,8.9,14.4,56.7,10.8
Immanuel Quickley,NYK,23,6-2,190,Kentucky,USA,2020,1,25,81,14.9,4.2,3.4,6.2,2.4,11,20.3,57.8,17.8
Isaac Okoro,CLE,22,6-5,225,Auburn,USA,2020,1,5,76,6.4,2.5,1.1,5.4,3.3,8.5,11.7,61.4,7
Isaiah Hartenstein,NYK,25,7-0,250,None,Germany,2017,2,43,82,5,6.5,1.2,4.4,12.2,19.2,10.7,56.7,8.3
Isaiah Jackson,IND,21,6-9,205,Kentucky,USA,2021,1,22,63,7.2,4.5,0.8,-5.6,10,15.9,16.5,59.5,7.1
Isaiah Joe,OKC,23,6-3,165,Arkansas,USA,2020,2,49,73,9.5,2.4,1.2,5.1,1.8,10.8,17,62.6,8.7
Isaiah Livers,DET,24,6-6,232,Michigan,USA,2021,2,42,52,6.7,2.8,0.8,-7.8,2.3,9.6,11.7,56.7,4.8
Isaiah Mobley,CLE,23,6-8,238,Southern California,USA,2022,2,49,12,2.6,1.7,0.3,19.8,5.3,17.4,16.6,52.1,5.4
Isaiah Roby,NYK,25,6-8,230,Nebraska,USA,2019,2,45,42,4.1,2.6,0.9,-10.4,4,18.8,17.3,49.7,11.4
Isaiah Stewart,DET,22,6-8,250,Washington,USA,2020,1,16,50,11.3,8.1,1.4,-8,7.8,20.2,17,56,7.3
Isaiah Todd,WAS,21,6-9,219,None,USA,2021,2,31,6,1.5,2,0.7,-6.7,2.7,15.2,14.3,22.6,8.7
Ish Smith,DEN,34,6-0,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,43,2.5,1.3,2.3,-5.3,1.4,11.6,18.7,40.7,35.2
Ish Wainright,PHX,28,6-5,250,Baylor,USA,Undrafted,Undrafted,Undrafted,60,4.2,2.3,0.9,6.1,4.5,9.7,11.7,52.2,7.5
Ivica Zubac,LAC,26,7-0,240,None,Croatia,2016,2,32,76,10.8,9.9,1,-0.6,11.4,23.8,14.9,66.1,5
JD Davison,BOS,20,6-1,195,Alabama,USA,2022,2,53,12,1.6,0.8,0.9,-5.8,3.3,9.3,15.7,47.8,23.4
JT Thor,CHA,20,6-9,203,Auburn,USA,2021,2,37,69,3.8,2.2,0.5,-7.5,3.5,11.5,13,50.6,5.4
Ja Morant,MEM,23,6-2,174,Murray State,USA,2019,1,2,61,26.2,5.9,8.1,7.3,2.9,13.9,33.8,55.7,41.2
JaMychal Green,GSW,32,6-9,227,Alabama,USA,Undrafted,Undrafted,Undrafted,57,6.4,3.6,0.9,-8.2,8.7,16.4,16.9,65,9.4
JaVale McGee,DAL,35,7-0,270,Nevada,USA,2008,1,18,42,4.4,2.5,0.3,-7.3,8.6,19.9,21.4,65,5.1
Jabari Smith Jr.,HOU,20,6-11,220,Auburn,USA,2022,1,3,79,12.8,7.2,1.3,-11.3,4.7,18,18.3,51.4,5.9
Jabari Walker,POR,20,6-7,200,Colorado,USA,2022,2,57,56,3.9,2.3,0.6,-9,7.4,13.5,16.4,49.6,8
Jack White,DEN,25,6-7,225,Duke,Australia,Undrafted,Undrafted,Undrafted,17,1.2,1,0.2,-14.1,8.6,17.7,13.3,51.7,9.3
Jacob Gilyard,MEM,24,5-9,160,Richmond,USA,Undrafted,Undrafted,Undrafted,1,3,4,7,-14.9,0,9.5,5.2,50,21.2
Jaden Hardy,DAL,20,6-3,198,None,USA,2022,2,37,48,8.8,1.9,1.4,-3.1,1.5,10.6,24.8,57.1,14.7
Jaden Ivey,DET,21,6-4,195,Purdue,USA,2022,1,5,74,16.3,3.9,5.2,-13,3,9.4,25.1,52.8,26.9
Jaden McDaniels,MIN,22,6-9,185,Washington,USA,2020,1,28,79,12.1,3.9,1.9,2,3.9,8.6,15.6,61.1,8.2
Jaden Springer,PHI,20,6-4,202,Tennessee,USA,2021,1,28,16,2.6,0.9,0.5,-2.1,6.3,9.1,18.8,54.5,12.9
Jae Crowder,MIL,32,6-6,235,Marquette,USA,2012,2,34,18,6.9,3.8,1.5,-0.8,4.6,13.4,12.5,62.4,10.2
Jae'Sean Tate,HOU,27,6-5,230,Ohio State,USA,Undrafted,Undrafted,Undrafted,31,9.1,3.8,2.7,-7.3,5.4,11.4,17.8,54.6,18.4
Jake LaRavia,MEM,21,6-7,235,Wake Forest,USA,2022,1,19,35,3,1.8,0.6,-7.6,4.4,10,11.7,53.1,6.8
Jakob Poeltl,TOR,27,7-1,245,Utah,Austria,2016,1,9,72,12.5,9.1,2.7,-3.1,11.7,24,18,63.5,14.6
Jalen Brunson,NYK,26,6-2,190,Villanova,USA,2018,2,33,68,24,3.5,6.2,2.1,1.6,8.5,26.6,59.7,28
Jalen Duren,DET,19,6-11,250,Memphis,USA,2022,1,13,67,9.1,8.9,1.1,-8.3,13,22.1,13.9,65.5,6.9
Jalen Green,HOU,21,6-4,186,None,USA,2021,1,2,76,22.1,3.7,3.7,-8.7,1.6,9.3,27.4,53.8,16.9
Jalen Johnson,ATL,21,6-8,219,Duke,USA,2021,1,20,70,5.6,4,1.2,0.3,4.7,21.4,15.6,55.4,10.6
Jalen McDaniels,PHI,25,6-9,205,San Diego State,USA,2019,2,52,80,9.4,4.3,1.6,-3.4,3.1,14.5,16.5,55.7,9.4
Jalen Smith,IND,23,6-9,215,Maryland,USA,2020,1,10,68,9.4,5.8,1,-3.8,9.3,20.1,20.1,56.5,7.6
Jalen Suggs,ORL,22,6-5,205,Gonzaga,USA,2021,1,5,53,9.9,3,2.9,-1.3,4.4,8.3,19.6,52.8,17.9
Jalen Williams,OKC,22,6-5,211,Santa Clara,USA,2022,1,12,75,14.1,4.5,3.3,-1,3.5,10.9,18,60.1,15.2
Jamal Cain,MIA,24,6-6,191,Oakland,USA,Undrafted,Undrafted,Undrafted,18,5.4,2.9,0.7,5.5,6.4,14.2,13.9,64.7,7.6
Jamal Murray,DEN,26,6-4,215,Kentucky,Canada,2016,1,7,65,20,4,6.2,6.4,2.4,9.9,25.6,57.1,26.5
Jamaree Bouyea,WAS,23,6-2,180,San Francisco,USA,Undrafted,Undrafted,Undrafted,5,3,1.2,0.8,-13.2,1.6,8.6,12,50.4,9.1
James Bouknight,CHA,22,6-4,190,Connecticut,USA,2021,1,11,34,5.6,2.1,1.2,-8.3,1.5,11.6,19.2,46.3,11.7
James Harden,PHI,33,6-5,220,Arizona State,USA,2009,1,3,58,21,6.1,10.7,6.1,2.1,15.1,24.7,60.7,43.9
James Johnson,IND,36,6-7,240,Wake Forest,USA,2009,1,16,18,2.8,1.7,0.8,-1.1,2.2,17.3,15.2,48.6,13.5
James Wiseman,DET,22,7-0,240,Memphis,USA,2020,1,2,45,10,5.9,0.7,-17.2,8.4,23.1,21.2,58.9,5.7
Jared Butler,OKC,22,6-3,193,Baylor,USA,2021,2,40,6,6.2,0.7,1.3,2.6,1.3,3.4,20.8,57.8,16
Jared Rhoden,DET,23,6-6,210,Seton Hall,USA,Undrafted,Undrafted,Undrafted,14,3.2,2.6,0.3,4.3,5.5,13.5,10.6,48.2,2.8
