PLAYER,TEAM,YEAR,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
Jordan Goodwin,WAS,2022,2,1,1,3,1235.5,0.23,0.13,0.1,4.79,5.44,4.06
Jordan McLaughlin,MIN,2022,62,36,26,14.5,6209.8,1.18,0.63,0.55,4.58,5.16,4.05
Jordan Nwora,MIL,2022,62,34,28,19.1,7783.6,1.47,0.78,0.7,4.31,4.64,4
Jordan Poole,GSW,2022,75,49,26,30,11574.2,2.19,1.23,0.96,4.11,4.67,3.56
Jordan Schakel,WAS,2022,4,1,3,7.6,3247.5,0.62,0.32,0.29,4.59,5.02,4.2
Jose Alvarado,NOP,2022,53,24,29,15.5,6680.9,1.27,0.66,0.61,4.54,4.76,4.33
Josh Christopher,HOU,2022,74,18,56,18,7343,1.39,0.74,0.65,4.3,4.58,4.02
Josh Giddey,OKC,2022,54,17,37,31.5,12409.4,2.35,1.27,1.08,4.3,4.74,3.88
Josh Green,DAL,2022,67,44,23,15.5,6699.3,1.27,0.65,0.62,4.57,4.59,4.55
Josh Hart,POR,2022,53,19,34,33.1,12919.5,2.45,1.32,1.13,4.14,4.45,3.82
Josh Jackson,SAC,2022,50,12,38,16.3,6490.3,1.23,0.67,0.56,4.22,4.6,3.85
Josh Okogie,MIN,2022,49,23,26,10.5,4265.7,0.81,0.39,0.42,4.26,4.25,4.26
Josh Richardson,SAS,2022,64,38,26,24.8,9805.7,1.86,1.01,0.85,4.19,4.53,3.84
Joshua Primo,SAS,2022,50,22,28,19.3,8236,1.56,0.85,0.71,4.52,5.03,4.03
Jrue Holiday,MIL,2022,67,47,20,33,12988.8,2.46,1.3,1.16,4.22,4.67,3.8
Juan Toscano-Anderson,GSW,2022,73,51,22,13.6,5585.6,1.06,0.57,0.49,4.34,4.81,3.91
Juancho Hernangomez,UTA,2022,40,20,20,11.1,4592.6,0.87,0.46,0.41,4.45,4.74,4.17
Julius Randle,NYK,2022,71,31,40,35.3,13017.3,2.47,1.37,1.09,3.93,4.25,3.59
Justin Anderson,IND,2022,16,3,13,19.7,7678.3,1.45,0.77,0.68,4.11,4.39,3.84
Justin Champagnie,TOR,2022,36,21,15,7.8,3358.2,0.64,0.34,0.3,4.58,4.7,4.45
Justin Holiday,SAC,2022,74,25,49,27.8,11044,2.09,1.16,0.94,4.29,4.77,3.81
Justin Jackson,PHX,2022,6,5,1,5.1,1909.2,0.36,0.21,0.15,4.12,4.65,3.53
Justin Robinson,DET,2022,24,13,11,12.3,5161.8,0.98,0.51,0.47,4.43,4.62,4.24
Justise Winslow,POR,2022,47,24,23,16.2,6423.1,1.22,0.63,0.58,4.19,4.42,3.96
Jusuf Nurkic,POR,2022,56,25,31,28.2,10592,2.01,1.06,0.94,4.01,4.25,3.77
Juwan Morgan,BOS,2022,2,1,1,15.5,6217,1.18,0.61,0.56,4.31,4.75,3.62
KZ Okpala,MIA,2022,21,14,7,11.6,4743.1,0.9,0.49,0.41,4.31,4.52,4.04
Kai Jones,CHA,2022,20,14,6,3,1223.3,0.23,0.12,0.11,4.16,4.31,4.01
Karl-Anthony Towns,MIN,2022,74,44,30,33.5,11973,2.27,1.16,1.11,3.84,3.97,3.71
Keifer Sykes,IND,2022,32,6,26,17.7,7361.8,1.39,0.74,0.65,4.41,4.8,4.03
Keita Bates-Diop,SAS,2022,59,23,36,16.2,6732.4,1.28,0.68,0.6,4.42,4.85,4.02
Kelan Martin,BOS,2022,30,14,16,15,5997.3,1.14,0.6,0.54,4.25,4.47,4.03
Keldon Johnson,SAS,2022,75,33,42,31.9,12650.1,2.4,1.3,1.1,4.24,4.72,3.78
Keljin Blevins,POR,2022,31,4,27,11.3,4660.3,0.88,0.46,0.42,4.38,4.6,4.13
Kelly Olynyk,DET,2022,40,13,27,19.1,7376.4,1.4,0.78,0.62,4.08,4.53,3.64
Kelly Oubre Jr.,CHA,2022,75,39,36,26.5,10279.3,1.95,1.01,0.93,4.11,4.37,3.87
Kemba Walker,NYK,2022,37,16,21,25.6,9832.1,1.86,1.04,0.82,4.1,4.43,3.75
Kenrich Williams,OKC,2022,49,17,32,21.9,8818.5,1.67,0.89,0.78,4.26,4.62,3.92
Kent Bazemore,LAL,2022,39,16,23,14,5932.8,1.12,0.57,0.56,4.5,4.59,4.42
Kentavious Caldwell-Pope,WAS,2022,77,34,43,30.2,11556.7,2.19,1.19,0.99,4.06,4.33,3.78
Kenyon Martin Jr.,HOU,2022,79,20,59,21,7962.9,1.51,0.79,0.72,4.01,4.16,3.87
Keon Johnson,POR,2022,36,8,28,19.3,7784,1.47,0.79,0.68,4.27,4.64,3.9
Kessler Edwards,BKN,2022,48,22,26,20.6,8169.8,1.55,0.82,0.73,4.33,4.55,4.1
Kevin Durant,BKN,2022,55,36,19,37.2,13121.2,2.49,1.33,1.16,3.74,4.06,3.43
Kevin Huerter,ATL,2022,74,40,34,29.6,11337.4,2.15,1.15,1,4.14,4.42,3.86
Kevin Knox II,ATL,2022,30,18,12,7.4,2950.6,0.56,0.29,0.27,4.3,4.48,4.11
Kevin Love,CLE,2022,74,38,36,22.5,8250.6,1.56,0.85,0.71,3.9,4.12,3.66
Kevin Pangos,CLE,2022,24,16,8,6.9,2955.4,0.56,0.32,0.24,4.54,4.74,4.37
Kevin Porter Jr.,HOU,2022,61,16,45,31.3,12083.4,2.29,1.23,1.05,4.11,4.37,3.85
Kevon Looney,GSW,2022,81,53,28,21.1,7960.5,1.51,0.77,0.74,4.03,4.19,3.88
Khem Birch,TOR,2022,55,34,21,18,7185.7,1.36,0.74,0.62,4.26,4.52,4
Khris Middleton,MIL,2022,66,44,22,32.4,12449.5,2.36,1.26,1.1,4.15,4.66,3.69
Killian Hayes,DET,2022,65,21,44,24.9,9944.6,1.88,1.01,0.88,4.24,4.55,3.94
Killian Tillie,MEM,2022,35,26,9,12.6,5119.7,0.97,0.51,0.46,4.31,4.46,4.15
Kira Lewis Jr.,NOP,2022,24,6,18,14.2,6011.6,1.14,0.61,0.53,4.45,4.7,4.2
Klay Thompson,GSW,2022,32,17,15,29.4,11644.3,2.21,1.2,1.01,4.26,4.78,3.77
Kris Dunn,POR,2022,14,1,13,24,9698.9,1.84,0.94,0.9,4.23,4.43,4.04
Kristaps Porzingis,WAS,2022,51,26,25,29,10612.2,2.01,1.09,0.92,3.9,4.11,3.67
Kyle Anderson,MEM,2022,69,46,23,21.5,8408,1.59,0.85,0.74,4.16,4.44,3.89
Kyle Guy,MIA,2022,19,15,4,9.8,4099.9,0.78,0.43,0.34,4.42,4.7,4.12
Kyle Kuzma,WAS,2022,66,29,37,33.4,13074.2,2.48,1.38,1.1,4.16,4.53,3.78
Kyle Lowry,MIA,2022,63,41,22,33.9,12038.4,2.28,1.25,1.03,3.76,4.13,3.4
Kyrie Irving,BKN,2022,29,14,15,37.6,13567.6,2.57,1.39,1.18,3.85,4.17,3.53
LaMarcus Aldridge,BKN,2022,47,26,21,22.3,8300.1,1.57,0.83,0.74,4.01,4.21,3.8
LaMelo Ball,CHA,2022,74,39,35,32.3,13477.3,2.55,1.4,1.15,4.44,4.94,3.95
Lamar Stevens,CLE,2022,63,35,28,16.1,6380.6,1.21,0.63,0.58,4.2,4.32,4.08
Lance Stephenson,IND,2022,46,11,35,17.7,6411.7,1.21,0.66,0.56,3.82,4.18,3.46
Landry Shamet,PHX,2022,69,53,16,20.8,8714.3,1.65,0.91,0.74,4.51,5.02,4.01
Langston Galloway,MIL,2022,7,4,3,15.2,6269,1.19,0.64,0.55,4.36,4.82,3.92
Larry Nance Jr.,NOP,2022,46,19,27,22.6,8804.5,1.67,0.88,0.78,4.13,4.39,3.88
Lauri Markkanen,CLE,2022,61,32,29,30.8,11741.3,2.22,1.21,1.02,4.07,4.34,3.8
LeBron James,LAL,2022,56,25,31,37.2,12615.5,2.39,1.29,1.1,3.61,3.92,3.3
Leandro Bolmaro,MIN,2022,35,19,16,6.9,3093.6,0.59,0.31,0.27,4.7,5.12,4.3
Lindell Wigginton,MIL,2022,19,11,8,10.5,4232,0.8,0.42,0.38,4.32,4.63,4.02
Lindy Waters III,OKC,2022,25,6,19,18.6,7598.8,1.44,0.79,0.65,4.37,4.75,3.98
Lonnie Walker IV,SAS,2022,70,27,43,23,8875.8,1.68,0.9,0.78,4.09,4.48,3.71
Lonzo Ball,CHI,2022,35,22,13,34.6,13647.7,2.58,1.39,1.2,4.21,4.63,3.81
Lou Williams,ATL,2022,56,33,23,14.3,5060.2,0.96,0.52,0.43,3.82,4.12,3.5
Louis King,SAC,2022,10,2,8,10.4,4270.5,0.81,0.42,0.39,4.33,4.63,4.05
Luguentz Dort,OKC,2022,51,17,34,32.6,12650.7,2.4,1.29,1.1,4.13,4.5,3.77
