PLAYER,TEAM,YEAR,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Harrison Barnes,SAC,2023,31,82,48,34,32.5,15,4.6,9.6,47.3,1.6,4.3,37.4,4.3,5,84.7,1.1,3.4,4.5,1.6,1,0.7,0.1,1.3,24.1,0,0,3.1
Immanuel Quickley,NYK,2023,23,81,47,34,28.9,14.9,5.2,11.6,44.8,2.1,5.6,37,2.5,3.1,81.9,0.7,3.4,4.2,3.4,1.2,1,0.2,2,27.3,4,0,3.9
Malcolm Brogdon,BOS,2023,30,67,46,21,26,14.9,5.3,10.9,48.4,2,4.4,44.4,2.4,2.7,87,0.6,3.6,4.2,3.7,1.5,0.7,0.3,1.6,26.9,0,0,2.7
Alperen Sengun,HOU,2023,20,75,18,57,28.9,14.8,5.9,10.7,55.3,0.3,0.8,33.3,2.7,3.8,71.5,3.2,5.8,9,3.9,2.6,0.9,0.9,3.4,34.5,29,2,-3.8
Tobias Harris,PHI,2023,30,74,47,27,32.9,14.7,5.7,11.4,50.1,1.7,4.4,38.9,1.5,1.7,87.6,0.9,4.8,5.7,2.5,1.2,0.9,0.5,2,28.5,7,0,4
Gordon Hayward,CHA,2023,33,50,20,30,31.5,14.7,5.5,11.6,47.5,1,3.2,32.5,2.6,3.2,81.1,0.7,3.6,4.3,4.1,2,0.8,0.2,1.4,27.3,2,0,-2.2
Trey Murphy III,NOP,2023,22,79,39,40,31,14.5,4.9,10.1,48.4,2.6,6.3,40.6,2.2,2.4,90.5,0.7,2.8,3.6,1.4,0.8,1.1,0.5,2,25.2,1,0,0.5
Tim Hardaway Jr.,DAL,2023,31,71,37,34,30.3,14.4,4.8,11.9,40.1,3,7.7,38.5,1.8,2.3,77,0.3,3.2,3.5,1.8,0.8,0.7,0.2,1.7,23.1,0,0,2.3
Dillon Brooks,MEM,2023,27,73,46,27,30.3,14.3,5.4,13.6,39.6,2,6,32.6,1.6,2.1,77.9,0.6,2.7,3.3,2.6,1.4,0.9,0.2,3.3,24.1,0,0,2.8
Collin Sexton,UTA,2023,24,48,24,24,23.9,14.3,4.9,9.8,50.6,1,2.5,39.3,3.4,4.1,81.9,0.8,1.4,2.2,2.9,1.8,0.6,0.1,2.3,21.5,1,0,-0.6
Jarrett Allen,CLE,2023,25,68,44,24,32.6,14.3,5.9,9.2,64.4,0,0.1,10,2.4,3.3,73.3,3.3,6.5,9.8,1.7,1.4,0.8,1.2,2.3,33.2,32,0,5.1
Jonas Valanciunas,NOP,2023,31,79,40,39,24.9,14.1,5.6,10.3,54.7,0.5,1.4,34.9,2.3,2.8,82.6,2.8,7.3,10.2,1.8,2,0.3,0.7,3.1,29.7,43,0,-0.1
Bobby Portis,MIL,2023,28,70,47,23,26,14.1,5.7,11.5,49.6,1.4,3.7,37,1.4,1.8,76.8,2.2,7.4,9.6,1.5,1.2,0.4,0.2,1.6,28.6,38,0,0.2
Jalen Williams,OKC,2023,22,75,36,39,30.3,14.1,5.5,10.6,52.1,1,2.7,35.6,2.1,2.5,81.2,1.1,3.4,4.5,3.3,1.6,1.4,0.5,2.5,28.3,3,0,-0.7
Bogdan Bogdanovic,ATL,2023,30,54,27,27,27.9,14,5.1,11.3,44.7,2.7,6.7,40.6,1.2,1.4,83.1,0.4,2.6,3.1,2.8,1.2,0.8,0.3,1.6,24,0,0,1.2
Markelle Fultz,ORL,2023,25,60,29,31,29.6,14,5.8,11.3,51.4,0.5,1.5,31,1.9,2.4,78.3,1.2,2.8,3.9,5.7,2.3,1.5,0.4,2.2,30.5,3,0,-2.2
Chris Paul,PHX,2023,38,59,33,26,32,13.9,5,11.3,44,1.7,4.4,37.5,2.3,2.7,83.1,0.5,3.8,4.3,8.9,1.9,1.5,0.4,2.1,36.1,17,0,1.4
Saddiq Bey,ATL,2023,24,77,24,53,27.6,13.8,4.6,10.9,42.2,2,5.4,36.1,2.7,3.1,86.1,1.3,3.4,4.7,1.5,0.9,0.9,0.2,1.6,24,4,0,-1.9
Luguentz Dort,OKC,2023,24,74,36,38,30.7,13.7,4.6,11.8,38.8,1.8,5.5,33,2.7,3.5,77.2,1.7,2.9,4.6,2.1,1.2,1,0.3,3.3,25.1,5,0,0.5
Malik Monk,SAC,2023,25,77,47,30,22.3,13.5,4.6,10.3,44.8,1.9,5.2,35.9,2.4,2.7,88.9,0.4,2.2,2.6,3.9,1.9,0.6,0.3,1.6,23.3,0,0,0.9
